csv_row_id,commune_name,commune_code,office,election_date
221,Pucón,91115,Alcalde,2024-10-27
222,Pudahuel,13123,Alcalde,2024-10-27
223,Puente Alto,13201,Alcalde,2024-10-27
224,Puerto Montt,10101,Alcalde,2024-10-27
225,Puerto Octay,10111,Alcalde,2024-10-27
226,Puerto Varas,10109,Alcalde,2024-10-27
227,Pumanque,61309,Alcalde,2024-10-27
228,Punitaqui,41304,Alcalde,2024-10-27
229,Punta Arenas,12101,Alcalde,2024-10-27
230,Puqueldón,10122,Alcalde,2024-10-27
231,Purranque,10112,Alcalde,2024-10-27
232,Purén,91208,Alcalde,2024-10-27
233,Putaendo,57004,Alcalde,2024-10-27
234,Putre,15201,Alcalde,2024-10-27
235,Puyehue,10113,Alcalde,2024-10-27
236,Queilén,10123,Alcalde,2024-10-27
237,Quellón,10124,Alcalde,2024-10-27
238,Quemchi,10125,Alcalde,2024-10-27
239,Quilaco,81309,Alcalde,2024-10-27
240,Quilicura,13124,Alcalde,2024-10-27
241,Quilleco,81310,Alcalde,2024-10-27
242,Quillota,55005,Alcalde,2024-10-27
243,Quillón,16107,Alcalde,2024-10-27
244,Quilpué,58003,Alcalde,2024-10-27
245,Quinchao,10126,Alcalde,2024-10-27
246,Quinta Normal,13125,Alcalde,2024-10-27
247,Quinta de Tilcoco,61114,Alcalde,2024-10-27
248,Quirihue,16119,Alcalde,2024-10-27
249,Rancagua,61101,Alcalde,2024-10-27
250,Rauco,71205,Alcalde,2024-10-27
251,Recoleta,13126,Alcalde,2024-10-27
252,Renaico,91209,Alcalde,2024-10-27
253,Renca,13127,Alcalde,2024-10-27
254,Rengo,61115,Alcalde,2024-10-27
255,Requínoa,61116,Alcalde,2024-10-27
256,Retiro,71305,Alcalde,2024-10-27
257,Rinconada,53003,Alcalde,2024-10-27
258,Romeral,71206,Alcalde,2024-10-27
259,Ránquil,16120,Alcalde,2024-10-27
260,Río Bueno,14112,Alcalde,2024-10-27
261,Río Claro,71108,Alcalde,2024-10-27
262,Río Hurtado,41305,Alcalde,2024-10-27
263,Río Ibáñez,11110,Alcalde,2024-10-27
264,Río Negro,10114,Alcalde,2024-10-27
265,Río Verde,12103,Alcalde,2024-10-27
266,Saavedra,91116,Alcalde,2024-10-27
267,Sagrada Familia,71207,Alcalde,2024-10-27
268,Salamanca,41204,Alcalde,2024-10-27
269,San Antonio,56005,Alcalde,2024-10-27
270,San Bernardo,13401,Alcalde,2024-10-27
271,San Carlos,16112,Alcalde,2024-10-27
272,San Clemente,71109,Alcalde,2024-10-27
273,San Esteban,53004,Alcalde,2024-10-27
274,San Fabián,16113,Alcalde,2024-10-27
275,San Felipe,57005,Alcalde,2024-10-27
276,San Fernando,61301,Alcalde,2024-10-27
277,San Gregorio,12104,Alcalde,2024-10-27
278,San Ignacio,16108,Alcalde,2024-10-27
279,San Javier,71306,Alcalde,2024-10-27
280,San Joaquín,13128,Alcalde,2024-10-27
281,San José de Maipo,13203,Alcalde,2024-10-27
282,San Juan de la Costa,10115,Alcalde,2024-10-27
283,San Miguel,13129,Alcalde,2024-10-27
284,San Nicolás,16114,Alcalde,2024-10-27
285,San Pablo,10116,Alcalde,2024-10-27
286,San Pedro,13504,Alcalde,2024-10-27
287,San Pedro de Atacama,22203,Alcalde,2024-10-27
288,San Pedro de la Paz,81108,Alcalde,2024-10-27
289,San Rafael,71110,Alcalde,2024-10-27
290,San Ramón,13130,Alcalde,2024-10-27
291,San Rosendo,81311,Alcalde,2024-10-27
292,San Vicente,61117,Alcalde,2024-10-27
293,Santa Bárbara,81312,Alcalde,2024-10-27
294,Santa Cruz,61310,Alcalde,2024-10-27
295,Santa Juana,81109,Alcalde,2024-10-27
296,Santiago,13101,Alcalde,2024-10-27
297,Santo Domingo,56006,Alcalde,2024-10-27
298,Sierra Gorda,22103,Alcalde,2024-10-27
299,Talagante,13601,Alcalde,2024-10-27
300,Talca,71101,Alcalde,2024-10-27
301,Talcahuano,81110,Alcalde,2024-10-27
302,Taltal,22104,Alcalde,2024-10-27
303,Temuco,91101,Alcalde,2024-10-27
304,Teno,71208,Alcalde,2024-10-27
305,Teodoro Schmidt,91117,Alcalde,2024-10-27
306,Tierra Amarilla,31103,Alcalde,2024-10-27
307,Tiltil,13303,Alcalde,2024-10-27
308,Timaukel,12107,Alcalde,2024-10-27
309,Tirúa,81207,Alcalde,2024-10-27
310,Tocopilla,22301,Alcalde,2024-10-27
311,Toltén,91118,Alcalde,2024-10-27
312,Tomé,81111,Alcalde,2024-10-27
313,Torres del Paine,12109,Alcalde,2024-10-27
314,Tortel,11108,Alcalde,2024-10-27
315,Traiguén,91210,Alcalde,2024-10-27
316,Trehuaco,16121,Alcalde,2024-10-27
317,Tucapel,81313,Alcalde,2024-10-27
318,Valdivia,14101,Alcalde,2024-10-27
319,Vallenar,31301,Alcalde,2024-10-27
320,Valparaíso,51001,Alcalde,2024-10-27
321,Vichuquén,71209,Alcalde,2024-10-27
322,Victoria,91211,Alcalde,2024-10-27
323,Vicuña,41106,Alcalde,2024-10-27
324,Vilcún,91119,Alcalde,2024-10-27
325,Villa Alegre,71307,Alcalde,2024-10-27
326,Villa Alemana,58004,Alcalde,2024-10-27
327,Villarrica,91120,Alcalde,2024-10-27
328,Vitacura,13131,Alcalde,2024-10-27
329,Viña del Mar,51005,Alcalde,2024-10-27
330,Yerbas Buenas,71308,Alcalde,2024-10-27
331,Yumbel,81314,Alcalde,2024-10-27
332,Yungay,16109,Alcalde,2024-10-27
333,Zapallar,54005,Alcalde,2024-10-27
334,Ñiquén,16111,Alcalde,2024-10-27
335,Ñuñoa,13120,Alcalde,2024-10-27
